,ReportingCountry,YearWeekISO,first_dose_100k,second_dose_100k,cmltve_first_dose,cmltve_second_dose
244,CY,2022-02-21,89.86435887185318,234.57075129081485,149297.47017190227,142446.04478578383
245,CZ,2020-12-28,34.03797235050621,0.0,34.03797235050621,0.0
246,CZ,2021-01-04,1316.4279317471332,0.12156418696609361,1350.4659040976394,0.12156418696609361
247,CZ,2021-01-11,1841.8189967232843,17.561349470947984,3192.2849008209237,17.682913657914078
248,CZ,2021-01-18,1753.8813340902725,316.59054722492806,4946.166234911196,334.27346088284213
249,CZ,2021-01-25,988.9901186083068,751.6500701939668,5935.156353519503,1085.923531076809
250,CZ,2021-02-01,542.1482205948621,1477.1451380076137,6477.304574114365,2563.0686690844227
251,CZ,2021-02-08,688.5769593411744,1707.8178583214287,7165.881533455539,4270.886527405852
252,CZ,2021-02-15,1139.6268484419072,1027.3389440504573,8305.508381897447,5298.225471456309
253,CZ,2021-02-22,1656.8263574348048,698.4891161245637,9962.334739332251,5996.714587580873
254,CZ,2021-03-01,3318.178643061271,518.5273639582197,13280.513382393521,6515.241951539092
255,CZ,2021-03-08,4352.4560968601,835.015049178792,17632.96947925362,7350.257000717884
256,CZ,2021-03-15,3946.759000589025,1286.7662701274055,21579.728479842648,8637.02327084529
257,CZ,2021-03-22,2812.32200782144,1796.4755549849308,24392.050487664088,10433.49882583022
258,CZ,2021-03-29,2064.5806937929974,2706.0000996826334,26456.631181457087,13139.498925512853
259,CZ,2021-04-05,2817.3902993087954,2906.665167998434,29274.02148076588,16046.164093511286
260,CZ,2021-04-12,4546.53799689712,2862.3316441210295,33820.559477663,18908.495737632315
261,CZ,2021-04-19,5228.475681411685,1676.519755723312,39049.03515907469,20585.015493355626
262,CZ,2021-04-26,6183.502636399927,1166.520587035329,45232.537795474615,21751.536080390953
263,CZ,2021-05-03,7971.37518738418,748.985009172018,53203.9129828588,22500.52108956297
264,CZ,2021-05-10,8539.33241998108,771.0161802867965,61743.24540283988,23271.537269849767
265,CZ,2021-05-17,7968.812988366587,2057.015660927185,69712.05839120646,25328.55293077695
266,CZ,2021-05-24,6459.275670078164,4337.391488767609,76171.33406128462,29665.94441954456
267,CZ,2021-05-31,6803.947544492259,5574.092016047595,82975.28160577688,35240.036435592156
268,CZ,2021-06-07,6589.442861044935,6492.892843319941,89564.72446682182,41732.929278912095
269,CZ,2021-06-14,4752.972688548157,8195.28706868442,94317.69715536997,49928.21634759651
270,CZ,2021-06-21,3549.0477362924926,9017.930624066585,97866.74489166246,58946.146971663096
271,CZ,2021-06-28,2846.6124596371833,9168.34292770886,100713.35735129964,68114.48989937195
272,CZ,2021-07-05,2099.544424182707,6030.17279227046,102812.90177548234,74144.66269164241
273,CZ,2021-07-12,2907.5441705811118,7477.674970840961,105720.44594606345,81622.33766248338
274,CZ,2021-07-19,2411.8428204986017,6534.654817088445,108132.28876656205,88156.99247957183
275,CZ,2021-07-26,2413.6756343943985,4576.050041055966,110545.96440095645,92733.04252062779
276,CZ,2021-08-02,1795.1851043848292,4016.966994107598,112341.14950534128,96750.00951473539
277,CZ,2021-08-09,1206.4871512732589,4029.2917324476975,113547.63665661454,100779.30124718309
278,CZ,2021-08-16,1036.8396528164226,3600.422631922625,114584.47630943096,104379.72387910572
279,CZ,2021-08-23,1005.0833467443567,2911.583842024908,115589.55965617532,107291.30772113062
280,CZ,2021-08-30,806.0173150417259,1522.245451372034,116395.57697121704,108813.55317250265
281,CZ,2021-09-06,636.8280200588389,972.0459411634945,117032.40499127588,109785.59911366615
282,CZ,2021-09-13,580.3100242109106,788.6055830316593,117612.71501548678,110574.20469669781
283,CZ,2021-09-20,481.94589477273064,638.4083544893983,118094.66091025951,111212.6130511872
284,CZ,2021-09-27,352.4239291060104,519.7617080104907,118447.08483936552,111732.3747591977
285,CZ,2021-10-04,379.4766362516188,466.4791897541214,118826.56147561714,112198.85394895182
286,CZ,2021-10-11,398.6463734270412,386.9949136609063,119225.20784904418,112585.84886261272
287,CZ,2021-10-18,705.1657953163937,294.55002501884485,119930.37364436057,112880.39888763157
288,CZ,2021-10-25,1199.6982589857673,271.4902338605074,121130.07190334634,113151.88912149207
289,CZ,2021-11-01,1888.7334218008914,347.8512454578243,123018.80532514723,113499.7403669499
290,CZ,2021-11-08,1732.5982502799015,465.0017173279183,124751.40357542713,113964.74208427782
291,CZ,2021-11-15,1826.5112602568615,727.8515428225279,126577.91483568399,114692.59362710034
292,CZ,2021-11-22,2049.8994804440163,1223.3284667137148,128627.814316128,115915.92209381406
293,CZ,2021-11-29,1264.5013217300007,1156.0286625910248,129892.315637858,117071.95075640509
294,CZ,2021-12-06,782.8827151529476,1237.9909778800868,130675.19835301096,118309.94173428518
295,CZ,2021-12-13,728.7398964965108,1482.550068781952,131403.93824950748,119792.49180306714
296,CZ,2021-12-20,389.0895581132453,833.1728841916902,131793.02780762073,120625.66468725883
297,CZ,2021-12-27,363.4488657547045,625.3542310275008,132156.47667337544,121251.01891828634
298,CZ,2022-01-03,626.813001271094,883.1825204912801,132783.28967464654,122134.20143877761
299,CZ,2022-01-10,569.1728744665554,510.4106167054066,133352.4625491131,122644.61205548303
300,CZ,2022-01-17,385.98499579995735,381.7863558039745,133738.44754491304,123026.398411287
301,CZ,2022-01-24,247.15869428467843,470.2570306413754,133985.60623919772,123496.65544192836
302,CZ,2022-01-31,149.28082159436292,428.4015459598189,134134.88706079207,123925.05698788818
303,CZ,2022-02-07,78.0535591235372,329.59791523030015,134212.9406199156,124254.65490311848
304,CZ,2022-02-14,54.685181952131956,228.47521385712037,134267.62580186775,124483.1301169756
305,CZ,2022-02-21,42.45395452508191,165.22443226953135,134310.07975639284,124648.35454924514
306,CZ,2022-02-28,14.933692814219352,47.148202360234144,134325.01344920706,124695.50275160537
307,DE,2020-12-28,58.514998867756105,0.04569135840901536,58.514998867756105,0.04569135840901536
